Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"R50"	"R0603"	"100.71mm"	"68.2mm"	"100.71mm"	"68.2mm"	"100.71mm"	"68.95mm"	"T"	"270"	"10K"
"R51"	"R0603"	"111.89mm"	"20.32mm"	"111.89mm"	"20.32mm"	"111.89mm"	"19.57mm"	"T"	"90"	"10K"
"R52"	"R0603"	"109.14mm"	"20.32mm"	"109.14mm"	"20.32mm"	"109.14mm"	"19.57mm"	"T"	"90"	"10K"
"R53"	"R0603"	"106.4mm"	"20.32mm"	"106.4mm"	"20.32mm"	"106.4mm"	"19.57mm"	"T"	"90"	"10K"
"R54"	"R0603"	"103.66mm"	"20.32mm"	"103.66mm"	"20.32mm"	"103.66mm"	"19.57mm"	"T"	"90"	"10K"
"R55"	"R0603"	"100.91mm"	"20.32mm"	"100.91mm"	"20.32mm"	"100.91mm"	"19.57mm"	"T"	"90"	"10K"
"R56"	"R0603"	"98.17mm"	"20.32mm"	"98.17mm"	"20.32mm"	"98.17mm"	"19.57mm"	"T"	"90"	"10K"
"R57"	"R0603"	"39.5mm"	"72.57mm"	"39.5mm"	"72.57mm"	"40.25mm"	"72.57mm"	"T"	"180"	"10K"
"U1"	"HW-411"	"63.59mm"	"87.92mm"	"43.69mm"	"79.12mm"	"43.69mm"	"96.72mm"	"T"	"0"	"HW-411"
"U2"	"ARDUINO-MEGA2560"	"100.08mm"	"49.02mm"	"42.29mm"	"22.35mm"	"105.79mm"	"73.15mm"	"T"	"0"	"ARDUINO-MEGA_2560"
"U3"	"DIP-4_L4.6-W6.5-P2.54-LS7.6-BL"	"158.88mm"	"74.42mm"	"158.88mm"	"74.42mm"	"160.15mm"	"78.23mm"	"T"	"180"	"PC817C"
"U4"	"DIP-4_L4.6-W6.5-P2.54-LS7.6-BL"	"158.88mm"	"57.74mm"	"158.88mm"	"57.74mm"	"160.15mm"	"61.55mm"	"T"	"180"	"PC817C"
"U5"	"DIP-4_L4.6-W6.5-P2.54-LS7.6-BL"	"158.88mm"	"41.06mm"	"158.88mm"	"41.06mm"	"160.15mm"	"44.87mm"	"T"	"180"	"PC817C"
"U6"	"DIP-4_L4.6-W6.5-P2.54-LS7.6-BL"	"158.88mm"	"24.38mm"	"158.88mm"	"24.38mm"	"160.15mm"	"28.19mm"	"T"	"180"	"PC817C"
"U7"	"CONN-TH_YC0220500000G"	"192.12mm"	"86.36mm"	"192.12mm"	"86.36mm"	"192.12mm"	"88.9mm"	"T"	"270"	"ANT SEL"
"U8"	"DIP-4_L4.6-W6.5-P2.54-LS7.6-BL"	"177.29mm"	"86.74mm"	"177.29mm"	"86.74mm"	"176.02mm"	"82.93mm"	"T"	"0"	"PC817C"
"U9"	"CONN-TH_YC0220500000G"	"59.6mm"	"104.61mm"	"59.6mm"	"104.61mm"	"57.06mm"	"104.61mm"	"T"	"0"	"12vOUT"
"U13"	"DIP-4_L4.6-W6.5-P2.54-LS7.6-BL"	"119.38mm"	"48.77mm"	"119.38mm"	"48.77mm"	"115.57mm"	"50.04mm"	"T"	"270"	"PC817C"
"U14"	"CONN-TH_8P-P5.00_DB127V-5.0-8P-GN-S"	"51.69mm"	"13.59mm"	"51.69mm"	"13.59mm"	"33.91mm"	"13.59mm"	"T"	"0"	"LPF"
"U15"	"DIP-4_L4.6-W6.5-P2.54-LS7.6-BL"	"108.1mm"	"48.77mm"	"108.1mm"	"48.77mm"	"104.29mm"	"50.04mm"	"T"	"270"	"PC817C"
"U16"	"DIP-4_L4.6-W6.5-P2.54-LS7.6-BL"	"96.82mm"	"48.77mm"	"96.82mm"	"48.77mm"	"93.01mm"	"50.04mm"	"T"	"270"	"PC817C"
"U17"	"CONN-TH_8P-P5.00_DB127V-5.0-8P-GN-S"	"94.11mm"	"13.72mm"	"94.11mm"	"13.72mm"	"76.33mm"	"13.72mm"	"T"	"0"	"ANALOG_SENSE"
"U18"	"DIP-4_L4.6-W6.5-P2.54-LS7.6-BL"	"85.53mm"	"48.77mm"	"85.53mm"	"48.77mm"	"81.72mm"	"50.04mm"	"T"	"270"	"PC817C"
"U19"	"DIP-4_L4.6-W6.5-P2.54-LS7.6-BL"	"74.25mm"	"48.77mm"	"74.25mm"	"48.77mm"	"70.44mm"	"50.04mm"	"T"	"270"	"PC817C"
"U20"	"DIP-4_L4.6-W6.5-P2.54-LS7.6-BL"	"62.97mm"	"48.77mm"	"62.97mm"	"48.77mm"	"59.16mm"	"50.04mm"	"T"	"270"	"PC817C"
"U21"	"DIP-4_L4.6-W6.5-P2.54-LS7.6-BL"	"51.69mm"	"48.77mm"	"51.69mm"	"48.77mm"	"47.88mm"	"50.04mm"	"T"	"270"	"PC817C"
"U29"	"CONN-TH_YC0220500000G"	"71.95mm"	"104.61mm"	"71.95mm"	"104.61mm"	"69.41mm"	"104.61mm"	"T"	"0"	"12vOUT"
"U30"	"CONN-TH_YC0220500000G"	"84.31mm"	"104.61mm"	"84.31mm"	"104.61mm"	"81.77mm"	"104.61mm"	"T"	"0"	"12vOUT"
"U31"	"CONN-TH_YC0220500000G"	"47.24mm"	"104.61mm"	"47.24mm"	"104.61mm"	"44.7mm"	"104.61mm"	"T"	"0"	"12vIN"
"U32"	"CONN-TH_YC0220500000G"	"96.66mm"	"104.61mm"	"96.66mm"	"104.61mm"	"94.12mm"	"104.61mm"	"T"	"0"	"5Vout"
